audio_label,segment_index,mean_amplitude,rms,zero_crossing_rate
parque,0,50.50748299319728,43.89210126307445,0.059437386569872956
parque,1,62.1936507936508,63.59903092574507,0.05535390199637023
parque,2,59.41814058956916,66.3659373603911,0.04945553539019964
parque,3,54.313378684807255,67.36938147326798,0.03176043557168784
parque,4,50.430839002267575,55.9477242236446,0.056261343012704176
parque,5,58.663492063492065,70.38734747671101,0.03720508166969147
parque,6,54.91746031746032,65.34881463114802,0.04310344827586207
parque,7,257.61133786848075,66.45355393003427,0.03130671506352087
parque,8,2555.301133786848,26.597861916015006,0.030852994555353903
parque,9,4315.612698412699,13.556332456083538,0.03539019963702359
parque,10,1634.3224489795919,17.553869146016353,0.10617059891107078
parque,11,3463.352380952381,18.240444956183126,0.013611615245009074
parque,12,3533.0231292517005,26.69527377127562,0.04310344827586207
parque,13,3661.0625850340134,20.72104979874101,0.050362976406533574
parque,14,4806.347392290249,11.286538045082022,0.029945553539019964
parque,15,583.9342403628118,39.58594656608428,0.3180580762250454
parque,16,80.52789115646259,70.61203767025548,0.09528130671506352
parque,17,55.468480725623586,63.5731870632477,0.09346642468239565
parque,18,91.01541950113379,66.79684908451182,0.0721415607985481
parque,19,3586.558276643991,13.036578575392431,0.03720508166969147
parque,20,2165.3088435374148,19.708073555406326,0.03176043557168784
parque,21,2987.728798185941,24.367127776982112,0.04310344827586207
parque,22,1037.917006802721,46.661996850899754,0.029945553539019964
parque,23,69.33605442176871,70.8985030337475,0.05716878402903811
parque,24,1379.4947845804988,30.911768227747608,0.04128856624319419
parque,25,2313.8956916099773,17.734167030681448,0.02722323049001815
parque,26,1330.8662131519275,26.33740604000515,0.019509981851179675
parque,27,1573.99410430839,48.18928569958085,0.047186932849364795
parque,28,2038.1219954648527,32.39925953074529,0.039927404718693285
parque,29,164.15192743764172,58.40911695369703,0.07123411978221415
parque,30,623.9383219954649,35.98853432934722,0.09573502722323049
parque,31,87.29251700680273,61.83350477633603,0.11705989110707804
parque,32,52.04807256235828,59.57535292163162,0.038112522686025406
parque,33,35.74603174603175,44.68741522358481,0.029945553539019964
parque,34,61.19138321995465,72.31674783990628,0.023139745916515426
parque,35,69.23356009070295,78.6332397562114,0.012250453720508167
parque,36,153.36326530612246,53.80677616246612,0.036297640653357534
parque,37,103.35873015873015,56.08934401891018,0.024047186932849365
parque,38,33.52743764172335,40.86181569459941,0.0499092558983666
parque,39,39.99410430839002,53.038457788053634,0.07486388384754991
parque,40,31.603174603174605,43.43537436274431,0.06760435571687841
parque,41,27.257596371882087,36.809967347786724,0.05898366606170599
parque,42,241.23083900226757,52.92361328875245,0.01588021778584392
parque,43,74.71201814058956,84.60915610648858,0.03221415607985481
