timestamp_sec,rms,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,energy_entropy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,file,label
0.0,0.00089802546,0.0603515625,2411.884146862524,2670.9209129757446,6001.3037109375,9.8461275,-558.76697,96.32037,3.96429,31.77663,1.9003136,21.949783,-12.034482,16.82631,-16.201996,12.679817,-5.6673822,11.342516,-7.2922616,casahogar.wav,S
0.1,0.0011473369,0.03583984375,1756.0421639112894,2266.425857077252,4018.095703125,10.20425,-556.4567,116.8998,0.0547493,36.826534,5.0539956,17.52547,-11.603038,13.794764,-2.2415185,13.306445,2.5217426,12.649851,-2.7211154,casahogar.wav,V
0.2,0.0012850976,0.08017578125,3191.137181961846,2660.616759455705,6711.8994140625,9.724001,-476.48203,67.71193,-18.397509,34.79635,0.6870077,31.601654,-16.785275,28.494955,-7.7530336,19.718384,-9.999357,11.401793,-5.5191984,casahogar.wav,U
0.3,0.002288526,0.05146484375,2120.047689868434,2338.719231347496,4997.8564453125,8.746212,-460.91156,114.10789,-9.037843,28.658009,-22.494623,35.79415,-14.748629,7.7042313,-14.072635,21.82107,-4.0094976,10.596066,-5.9579115,casahogar.wav,U
0.4,0.0013336515,0.08212890625,2604.9274655012714,2774.4210822917003,6457.8076171875,9.792891,-506.2964,97.57876,14.141619,30.10409,-14.327917,18.034307,-23.497377,19.259094,-15.899915,19.087088,-10.971713,14.301546,-7.189504,casahogar.wav,U
0.5,0.0012233763,0.05234375,2007.4652707071295,2410.9664585204146,4890.1904296875,10.214392,-525.6864,111.24129,-2.6988492,36.26354,1.7549073,22.044445,-12.260242,21.70477,-12.055788,12.082655,-11.274468,8.629342,-0.23519745,casahogar.wav,U
0.6000000000000001,0.0012575329,0.02421875,1612.3687427893483,2390.3138085410733,4323.8671875,10.173279,-587.8872,116.81339,28.743704,38.631958,-0.9644731,18.25123,-7.7218065,17.495,-1.8523897,6.380342,1.2914171,7.8537383,0.3440961,casahogar.wav,V
0.7000000000000001,0.0016481022,0.03115234375,1221.4895744877526,2044.2288139814384,2726.103515625,9.895044,-586.8405,132.5806,21.722439,40.826454,3.4499097,18.907154,-8.423289,13.808843,-2.044634,19.125242,-1.6256378,8.465068,0.16433549,casahogar.wav,V
0.8,0.0009020731,0.03984375,1778.00658167672,2339.024546441221,4549.9658203125,10.147415,-593.25195,116.72693,12.420336,40.07058,-4.507502,14.164784,-11.011363,18.19732,-16.065649,7.582965,-3.455656,17.126743,0.86430895,casahogar.wav,S
0.9,0.13172512,0.0490234375,1373.3572343965343,1316.526435680716,2325.5859375,9.46005,-155.67035,169.65366,-61.570496,7.7610903,9.51196,-8.56134,-33.77378,-6.498113,-5.020249,13.384265,-19.81857,9.00368,-0.4842781,casahogar.wav,V
1.0,0.15903023,0.02998046875,1380.8469747332551,1539.8653467686568,2764.86328125,9.704979,-161.37169,152.82472,-40.9133,8.328205,-0.029600907,4.3448973,-41.667175,1.8558502,-13.478476,10.013847,-1.2534716,6.6769285,-3.8258622,casahogar.wav,V
1.1,0.019971479,0.371484375,5208.789030633622,2273.1392705124917,7388.0419921875,9.942978,-256.06244,2.9551187,12.7318325,35.526955,-36.690968,46.924217,-37.00313,27.107843,-16.843256,23.402456,-8.210913,13.705539,-8.870007,casahogar.wav,U
